context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
no i would like to go to *STOP,1,"inform(to_stop=""*STOP"")","inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")",There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Take *VEHICLE line *LINE from *FROM_STOP at *DIRECTION at *DEPARTURE_TIME.,From *FROM_STOP to *DIRECTION *VEHICLE at line *LINE at *DEPARTURE_TIME.,no i would like to go to East Broadway,"inform(to_stop=""*STOP"")","inform(line=""D"")&inform(from_stop=""Bryant Park"")&inform(direction=""East Broadway"")&inform(vehicle=""subway"")&inform(departure_time=""7:07pm"")",There is a subway at 7:07pm going from Bryant Park to East Broadway using line D.,Take subway line D from Bryant Park at East Broadway at 7:07pm.,From Bryant Park to East Broadway subway at line D at 7:07pm.
to *STOP,3,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm sorry I cannot find a ride to *TO_STOP.,"I'm sorry, I could not find you a route to *TO_STOP.",Not found to *TO_STOP.,to World Trade Center,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""World Trade Center"")",I'm sorry I cannot find a ride to World Trade Center.,"I'm sorry, I could not find you a route to World Trade Center.",Not found to World Trade Center.
is there a connection at *NUMBER in the *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where would you like to go from and to where?,"From where to where, please?",From which place to where?,is there a connection at nine in the morning,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where would you like to go from and to where?,"From where to where, please?",From which place to where?
*NUMBER *AMPM schedule by *VEHICLE,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")",You asked for the *DEPARTURE_TIME *AMPM schedule by *VEHICLE.,Confirming *VEHICLE for *DEPARTURE_TIME *AMPM.,The *VEHICLE schedule for *DEPARTURE_TIME in the *AMPM.,six pm schedule by subway,"inform(departure_time=""6:00"")&inform(ampm=""pm"")&inform(vehicle=""subway"")","iconfirm(departure_time=""6:00"")&iconfirm(ampm=""pm"")&iconfirm(vehicle=""subway"")",You asked for the 6:00 pm schedule by subway.,Confirming subway for 6:00 pm.,The subway schedule for 6:00 in the evening.
i would like to leave or depart at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,You can depart on line *LINE of the *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,"At *DEPARTURE_TIME, take *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.",i would like to leave or depart at three pm,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform(line=""3"")&inform(from_stop=""Union Square"")&inform(direction=""Broad Street"")&inform(departure_time=""3:09pm"")&inform(vehicle=""subway"")",Take line 3 subway at 3:09pm from Union Square direction Broad Street.,You can depart on line 3 of the subway from Union Square to Broad Street at 3:09pm.,"At 3:09pm, take subway line 3 from Union Square to Broad Street."
is there *NUMBER at *NUMBER o'clock in the *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you going to?,I need you to tell me where you come from and where you are going?,"Where are you traveling from, and where is your destination?",is there two at two o'clock in the afternoon,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you going to?,I need you to tell me where you come from and where you are going?,"Where are you traveling from, and where is your destination?"
*VEHICLE line,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),"Yes, but where would you like to go?",Where are you going to and where are you leaving from?,From where to where?,subway line,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),"Yes, but where would you like to go?",Where are you going to and where are you leaving from?,From where to where?
no i would like to travel to *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",Your journey to *TO_STOP is not found.,I'm really sorry but the requested transportation to *TO_STOP is not found.,"Sorry, I can't find a route to *TO_STOP.",no i would like to travel to Rector Street,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Rector Street"")",Your journey to Rector Street is not found.,I'm really sorry but the requested transportation to Rector Street is not found.,"Sorry, I can't find a route to Rector Street."
i'd like to depart from *STOP,1,"confirm(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")",I did not find information from *FROM_STOP.,I'm sorry. Departing from *FROM_STOP is not found.,"I'm sorry, I have not found a route from *FROM_STOP.",i'd like to depart from Cortlandt Street,"confirm(from_stop=""*STOP"")","inform_no_match(from_stop=""Cortlandt Street"")",I did not find information from Cortlandt Street.,I'm sorry. Departing from Cortlandt Street is not found.,"I'm sorry, I have not found a route from Cortlandt Street."
i want to arrive at *STOP how long will it take,1,"inform(to_stop=""*STOP"")&request(duration)","iconfirm(to_stop=""*TO_STOP"")",From where to *TO_STOP.,I understand that you want to arrive at *TO_STOP.,Going to *TO_STOP.,i want to arrive at Cathedral Parkway how long will it take,"inform(to_stop=""*STOP"")&request(duration)","iconfirm(to_stop=""Cathedral Parkway"")",From where to Cathedral Parkway.,I understand that you want to arrive at Cathedral Parkway.,Going to Cathedral Parkway.
from *STOP,6,"inform(from_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")",There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Take *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,From *FROM_STOP *VEHICLE to *DIRECTION in line *LINE at *DEPARTURE_TIME.,from Central Park,"inform(from_stop=""*STOP"")","inform(from_stop=""Central Park"")&inform(vehicle=""subway"")&inform(line=""5"")&inform(direction=""Astor Place"")&inform(departure_time=""1:17pm"")",There is a subway at 1:17pm going from Central Park to Astor Place using line 5.,Take subway line 5 at 1:17pm from Central Park to Astor Place.,From Central Park subway to Astor Place in line 5 at 1:17pm.
i'd like to leave at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)","At *DEPARTURE_TIME *AMPM, from what station and to what direction?","You want to leave at *DEPARTURE_TIME *AMPM. Where are you traveling from, and where is your destination?",*DEPARTURE_TIME *AMPM? From where to where?,i'd like to leave at eight pm,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","iconfirm(departure_time=""8:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)","At 8:00 pm, from what station and to what direction?","You want to leave at 8:00 pm. Where are you traveling from, and where is your destination?",8:00 pm? From where to where?
is there an alternate route at a later time,1,"inform(alternative=""next"")","inform_no_match(alternative=""*ALTERNATIVE"")","I'm sorry, I cannot find a route at a later time.",I'm sorry I cannot find a next connection.,I'm sorry but I couldn't find an alternate route for a later time.,is there an alternate route at a later time,"inform(alternative=""next"")","inform_no_match(alternative=""next"")","I'm sorry, I cannot find a route at a later time.",I'm sorry I cannot find a next connection.,I'm sorry but I couldn't find an alternate route for a later time.
i would like to depart *STOP and go to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",From where to *TO_STOP?,"OK, you want to go to *TO_STOP, where are you traveling from?",Which stop would you like to leave from to go to *TO_STOP?,i would like to depart *STOP and go to Canal Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Canal Street"")&request(from_stop)",From where to Canal Street?,"OK, you want to go to Canal Street, where are you traveling from?",Which stop would you like to leave from to go to Canal Street?
i need to know how to depart from *STOP and finish at *STOP,1,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)","I understand, but where would you like to go from *FROM_STOP?",Where do you want to go from *FROM_STOP?,"You would like a connection from *FROM_STOP, please provide to which stop.",i need to know how to depart from Chambers Street and finish at *STOP,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""Chambers Street"")&request(to_stop)","I understand, but where would you like to go from Chambers Street?",Where do you want to go from Chambers Street?,"You would like a connection from Chambers Street, please provide to which stop."
i would like to take the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)",Take *VEHICLE from where to where?,Where do you want to go by *VEHICLE from and where do you want to go to?,OK you would like to take the *VEHICLE but I need you to tell me where you come from and where you are going?,i would like to take the subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)",Take subway from where to where?,Where do you want to go by subway from and where do you want to go to?,OK you would like to take the subway but I need you to tell me where you come from and where you are going?
and what time would the next connection be,1,"request(departure_time)&inform(alternative=""next"")","inform(departure_time=""*DEPARTURE_TIME"")",It is at *DEPARTURE_TIME.,The next is at *DEPARTURE_TIME.,The next connection is at *DEPARTURE_TIME.,and what time would the next connection be,"request(departure_time)&inform(alternative=""next"")","inform(departure_time=""3:55pm"")",It is at 3:55pm.,The next is at 3:55pm.,The next connection is at 3:55pm.
i want to travel from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)",From *FROM_STOP to what direction?,"You would like to go from *FROM_STOP, where would you like to go to?","From *FROM_STOP to where, sir?",i want to travel from City Hall,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""City Hall"")&request(to_stop)",From City Hall to what direction?,"You would like to go from City Hall, where would you like to go to?","From City Hall to where, sir?"
-klin street and going to *STOP,1,"inform(to_stop=""*STOP"")","inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,There is a *VEHICLE going from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME. It is line *LINE.,From *FROM_STOP to *DIRECTION at *DEPARTURE_TIME by *VEHICLE line *LINE.,-klin street and going to Wall Street,"inform(to_stop=""*STOP"")","inform(line=""M4"")&inform(departure_time=""9:01pm"")&inform(direction=""Wall Street"")&inform(from_stop=""Union Square"")&inform(vehicle=""bus"")",Take line M4 bus at 9:01pm from Union Square direction Wall Street.,There is a bus going from Union Square to Wall Street at 9:01pm. It is line M4.,From Union Square to Wall Street at 9:01pm by bus line M4.
i would like to go to *STOP f-,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",I understand you are going to *TO_STOP.,I'll see how you can go to *TO_STOP.,"Yes, to *TO_STOP.",i would like to go to Cathedral Parkway f-,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Cathedral Parkway"")",I understand you are going to Cathedral Parkway.,I'll see how you can go to Cathedral Parkway.,"Yes, to Cathedral Parkway."
*STOP going to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")",Take the *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP towards *DIRECTION.,Take the *LINE *VEHICLE from *FROM_STOP direction *DIRECTION at *DEPARTURE_TIME.,"Yes, *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.",Fulton Street going to Bowery,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(from_stop=""Fulton Street"")&inform(line=""M96"")&inform(vehicle=""bus"")&inform(departure_time=""10:10am"")&inform(direction=""Bowery"")",Take the M96 bus at 10:10am from Fulton Street towards Bowery.,Take the M96 bus from Fulton Street direction Bowery at 10:10am.,"Yes, bus line M96 from Fulton Street to Bowery at 10:10am."
i need to leave at *NUMBER in the *AMPM,2,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)",You want to leave at *DEPARTURE_TIME *AMPM. Where are you traveling from and where is your destination?,"OK, you need to depart at *DEPARTURE_TIME *AMPM, where are you traveling from and where do you want to go to?",So you want to leave at *DEPARTURE_TIME in the *AMPM. Where are you coming from and where are you going to?,i need to leave at ten in the evening,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","iconfirm(departure_time=""10:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)",You want to leave at 10:00 pm. Where are you traveling from and where is your destination?,"OK, you need to depart at 10:00 pm, where are you traveling from and where do you want to go to?",So you want to leave at 10:00 in the evening. Where are you coming from and where are you going to?
how far will i be travelling,1,request(distance),"inform(distance=""*DISTANCE"")",You will be traveling *DISTANCE.,It will be no longer than *DISTANCE.,You will be traveling *DISTANCE.,how far will i be travelling,request(distance),"inform(distance=""5.2 miles"")",You will be traveling 5.2 miles.,It will be no longer than 5.2 miles.,You will be traveling 5.2 miles.
how many transfers and distance of this trip,1,request(num_transfers)&request(distance),"inform(distance=""*DISTANCE"")&inform(num_transfers=""*NUM_TRANSFERS"")",There are *NUM_TRANSFERS transfers and the trip is *DISTANCE.,The trip last *DISTANCE and there are only *NUM_TRANSFERS transfers.,Only *NUM_TRANSFERS transfers and no more than *DISTANCE.,how many transfers and distance of this trip,request(num_transfers)&request(distance),"inform(distance=""6.4 miles"")&inform(num_transfers=""2"")",There are 2 transfers and the trip is 6.4 miles.,The trip last 6.4 miles and there are only two transfers.,Only 2 transfers and no more than 6.4 miles.
how bout the next ride,1,"inform(alternative=""next"")","iconfirm(alternative=""*ALTERNATIVE"")",Confirming your next ride.,"OK, you want the next connection.","OK, you want to take the next connection.",how bout the next ride,"inform(alternative=""next"")","iconfirm(alternative=""next"")",Confirming your next ride.,"OK, you want the next connection.","OK, you want to take the next connection."
do you have an alternative at a later time,1,"inform(alternative=""next"")","inform_no_match(alternative=""*ALTERNATIVE"")","I'm sorry, I could not find a later connection.","I'm sorry, I could not find a later connection.",Sorry I did not find an alternative for the next time.,do you have an alternative at a later time,"inform(alternative=""next"")","inform_no_match(alternative=""next"")","I'm sorry, I could not find a later connection.","I'm sorry, I could not find a later connection.",Sorry I did not find an alternative for the next time.
how long does that take,3,request(duration),"inform(duration=""*DURATION"")",It will take *DURATION.,That will take *DURATION.,We will have you at your destination in *DURATION.,how long does that take,request(duration),"inform(duration=""43 minutes"")",It will take 43 minutes.,That will take 43 minutes.,We will have you at your destination in 43 minutes.
time requirements and next connection,1,"request(duration)&inform(alternative=""next"")","iconfirm(alternative=""*ALTERNATIVE"")&inform(duration=""*DURATION"")",You want the next one? It will take *DURATION.,"It takes *DURATION. OK, I am searching for a next connection.","It goes for *DURATION. Well, you want next connection.",time requirements and next connection,"request(duration)&inform(alternative=""next"")","iconfirm(alternative=""next"")&inform(duration=""55 minutes"")",You want the next one? It will take 55 minutes.,"It takes 55 minutes. OK, I am searching for a next connection.","It goes for 55 minutes. Well, you want next connection."
i am going to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",You want to go to *TO_STOP.,OK you are going to *TO_STOP.,To *TO_STOP is that right.,i am going to Cortlandt Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Cortlandt Street"")",You want to go to Cortlandt Street.,OK you are going to Cortlandt Street.,To Cortlandt Street is that right.
*VEHICLE connection from *STOP to *STOP,3,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")&inform_no_match(vehicle=""*VEHICLE"")",A *VEHICLE route from *FROM_STOP to *TO_STOP is not found.,I'm sorry there is no connection by *VEHICLE from *FROM_STOP to *TO_STOP.,"Sorry, a *VEHICLE from *FROM_STOP to *TO_STOP is not found.",bus connection from Franklin Street to Times Square,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""bus"")","inform_no_match(from_stop=""Franklin Street"")&inform_no_match(to_stop=""Times Square"")&inform_no_match(vehicle=""bus"")",A bus route from Franklin Street to Times Square is not found.,I'm sorry there is no connection by bus from Franklin Street to Times Square.,"Sorry, a bus from Franklin Street to Times Square is not found."
alright if i go by *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","inform_no_match(vehicle=""*VEHICLE"")","Sorry, a *VEHICLE route is not found.","I'm sorry, I could not find you a connection by *VEHICLE.",I apologize I cannot find a *VEHICLE connection.,alright if i go by bus,"inform(vehicle=""bus"")","inform_no_match(vehicle=""bus"")","Sorry, a bus route is not found.","I'm sorry, I could not find you a connection by bus.",I apologize I cannot find a bus connection.
is there an option at *NUMBER o'clock,2,"inform(departure_time=""*TIME"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")",The trip at *DEPARTURE_TIME is not found.,I apologize but such a route not found from *DEPARTURE_TIME.,I did not find an option at *DEPARTURE_TIME.,is there an option at nine o'clock,"inform(departure_time=""*TIME"")","inform_no_match(departure_time=""9:00"")",The trip at 9:00 is not found.,I apologize but such a route not found from 9:00.,I did not find an option at 9:00.
no i would like to go to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",OK going to *TO_STOP from where?,You need to go from where to *TO_STOP?,Where are you leaving from to go to *TO_STOP?,no i would like to go to Roosevelt Island,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Roosevelt Island"")&request(from_stop)",OK going to Roosevelt Island from where?,You need to go from where to Roosevelt Island?,Where are you leaving from to go to Roosevelt Island?
i'm saying i want to go to *STOP and i know i want to know how long it will take,1,"inform(to_stop=""*STOP"")&request(duration)","inform(duration=""*DURATION"")",It will take approximately *DURATION.,It will take *DURATION.,It will take roughly *DURATION.,i'm saying i want to go to Columbia University and i know i want to know how long it will take,"inform(to_stop=""*STOP"")&request(duration)","inform(duration=""54 minutes"")",It will take approximately 54 minutes.,It will take 54 minutes.,It will take roughly 54 minutes.
i need a connection at *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")",The connection at *DEPARTURE_TIME *AMPM is not found.,I apologize but such a info not found from *DEPARTURE_TIME *AMPM.,"Apologies, a connection at *DEPARTURE_TIME *AMPM is not found.",i need a connection at two pm,"inform(departure_time=""2:00"")&inform(ampm=""pm"")","inform_no_match(departure_time=""2:00"")&inform_no_match(ampm=""pm"")",The connection at 2:00 pm is not found.,I apologize but such a info not found from 2:00 pm.,"Apologies, a connection at 2:00 pm is not found."
duration distance of trip,1,request(distance),"inform(distance=""*DISTANCE"")",No more than *DISTANCE.,Sir the distance of the trip is *DISTANCE.,The distance of the trip is *DISTANCE.,duration distance of trip,request(distance),"inform(distance=""5.4 miles"")",No more than 5.4 miles.,Sir the distance of the trip is 5.4 miles.,The distance of the trip is 5.4 miles.
i want to go by *VEHICLE,6,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",Going by *VEHICLE.,"OK, you wish to take the *VEHICLE.",You want to go by *VEHICLE.,i want to go by subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")",Going by subway.,"OK, you wish to take the subway.",You want to go by subway.
is there a schedule at *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)",At *DEPARTURE_TIME in the *AMPM. Where are you coming from and where are you going to?,You want a schedule at *DEPARTURE_TIME *AMPM but I need you to tell me where you come from and where you are going?,Where do you want to and from at *DEPARTURE_TIME *AMPM?,is there a schedule at ten pm,"inform(departure_time=""10:00"")&inform(ampm=""pm"")","iconfirm(departure_time=""10:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)",At 10:00 in the evening. Where are you coming from and where are you going to?,You want a schedule at 10:00 pm but I need you to tell me where you come from and where you are going?,Where do you want to and from at 10:00 pm?
ok i want to go to *STOP,1,"inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")",Take the *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,Then please use the *LINE *VEHICLE at *DEPARTURE_TIME to *DIRECTION from *FROM_STOP.,You can go to *DIRECTION from *FROM_STOP by *VEHICLE on line *LINE at *DEPARTURE_TIME.,ok i want to go to Astor Place,"inform(to_stop=""*STOP"")","inform(from_stop=""Chambers Street"")&inform(line=""M104"")&inform(direction=""Astor Place"")&inform(vehicle=""bus"")&inform(departure_time=""9:18pm"")",Take the M104 bus at 9:18pm from Chambers Street direction Astor Place.,Then please use the M104 bus at 9:18pm to Astor Place from Chambers Street.,You can go to Astor Place from Chambers Street by bus on line M104 at 9:18pm.
no i want a *VEHICLE option,1,"inform(vehicle=""*VEHICLE"")","inform_no_match(vehicle=""*VEHICLE"")",I'm sorry there is no *VEHICLE connection.,A *VEHICLE option is not found.,"I'm sorry, but I could not find you a *VEHICLE connection.",no i want a subway option,"inform(vehicle=""subway"")","inform_no_match(vehicle=""subway"")",I'm sorry there is no subway connection.,A subway option is not found.,"I'm sorry, but I could not find you a subway connection."
do you have an alternative at a later time oh,1,"inform(alternative=""next"")","inform_no_match(alternative=""*ALTERNATIVE"")","I'm sorry, I cannot find an alternative at later time.","No connections found later, madam.","I'm sorry, I was not able to find a later connection.",do you have an alternative at a later time oh,"inform(alternative=""next"")","inform_no_match(alternative=""next"")","I'm sorry, I cannot find an alternative at later time.","No connections found later, madam.","I'm sorry, I was not able to find a later connection."
i would like to go from *STOP,4,"inform(from_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION.,Take the *LINE *VEHICLE from *FROM_STOP direction *DIRECTION at *DEPARTURE_TIME.,From *FROM_STOP to *DIRECTION *VEHICLE in *LINE at *DEPARTURE_TIME OK.,i would like to go from Herald Square,"inform(from_stop=""*STOP"")","inform(vehicle=""subway"")&inform(from_stop=""Herald Square"")&inform(departure_time=""8:17am"")&inform(direction=""City Hall"")&inform(line=""M"")",At 8:17am by subway line M from Herald Square direction City Hall.,Take the M subway from Herald Square direction City Hall at 8:17am.,From Herald Square to City Hall subway in M at 8:17am OK.
how to travel to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",Going to *TO_STOP.,"Yes, to *TO_STOP.",To *TO_STOP.,how to travel to Rockefeller Center,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Rockefeller Center"")",Going to Rockefeller Center.,"Yes, to Rockefeller Center.",To Rockefeller Center.
i'm asking for public transport and i want to go from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")",The line *LINE *VEHICLE leaves from *FROM_STOP at *DEPARTURE_TIME going to *DIRECTION.,Take the *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME on line *LINE.,Take *VEHICLE *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,i'm asking for public transport and i want to go from Cathedral Parkway to Wall Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(departure_time=""7:01am"")&inform(vehicle=""subway"")&inform(from_stop=""Cathedral Parkway"")&inform(direction=""Wall Street"")&inform(line=""5"")",The line 5 subway leaves from Cathedral Parkway at 7:01am going to Wall Street.,Take the subway from Cathedral Parkway to Wall Street at 7:01am on line 5.,Take subway 5 from Cathedral Parkway to Wall Street at 7:01am.
i want to leave from *STOP and get to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I'm sorry there is no connection from *FROM_STOP to *TO_STOP.,Information for going from *FROM_STOP to *TO_STOP is not found.,No route found from *FROM_STOP to *TO_STOP.,i want to leave from Bryant Park and get to East Broadway,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Bryant Park"")&inform_no_match(to_stop=""East Broadway"")",I'm sorry there is no connection from Bryant Park to East Broadway.,Information for going from Bryant Park to East Broadway is not found.,No route found from Bryant Park to East Broadway.
yes i am still here can we take the *VEHICLE ,1,"inform(vehicle=""*VEHICLE"")","inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")",You can take the *LINE *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Take the *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,"OK, take *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.",yes i am still here can we take the subway ,"inform(vehicle=""subway"")","inform(direction=""Central Park"")&inform(line=""M"")&inform(vehicle=""subway"")&inform(departure_time=""6:08pm"")&inform(from_stop=""Dyckman Street"")",You can take the M subway from Dyckman Street to Central Park at 6:08pm.,Take the M subway at 6:08pm from Dyckman Street direction Central Park.,"OK, take subway M at 6:08pm from Dyckman Street to Central Park."
use *VEHICLE,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),Where are you traveling from and where is your destination?,Where are you going to and where do you want to go?,"OK, but from where? Where to go?",use subway,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),Where are you traveling from and where is your destination?,Where are you going to and where do you want to go?,"OK, but from where? Where to go?"
i prefer to take the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")","OK, you want the *VEHICLE.",I understand you want to take the *VEHICLE.,I'll check for a *VEHICLE route.,i prefer to take the subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")","OK, you want the subway.",I understand you want to take the subway.,I'll check for a subway route.
