Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
how long does it take	how long does it take	request(duration)	request(duration)
what is the weather like in fayetteville	what is the weather like in *CITY	inform(in_city="Fayetteville")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
how far what is the distance of this trip	how far what is the distance of this trip	request(distance)	request(distance)
		silence()	silence()
new york	*CITY	inform(city="New York")	inform(city="*CITY")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
from broadway queens to roosevelt avenue	from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens to roosevelt avenue	*STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
how long would it take	how long would it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
		silence()	silence()
roosevelt avenue in queens	*STREET in *BOROUGH	inform(from_street="Roosevelt Ave")&inform(in_borough="Queens")	inform(from_street="*STREET")&inform(in_borough="*BOROUGH")
broadway	*STREET	inform(street="Broadway")	inform(street="*STREET")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
ok what time is it now	ok what time is it *TIME	inform(time_rel="now")&ack()&request(current_time)	inform(time_rel="*TIME_REL")&ack()&request(current_time="*CURRENT_TIME")
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from roosevelt avenue and union street	i want to go from *STOP	inform(from_stop="Roosevelt Av /Union St")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(task="find_connection")
i wanna go to central park	i wanna go to *STOP	inform(to_stop="Central Park")	inform(to_stop="*STOP")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
can i go by bus	can i go by *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
		silence()	silence()
		silence()	silence()
maryland	*CITY	inform(state="Maryland")	inform(state="*STATE")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
good bye	good bye	bye()	bye()
broadway queens to roosevelt avenue	*STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
what's the weather	what's the weather	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
baltimore	*CITY	inform(city="Baltimore")	inform(city="*CITY")
		silence()	silence()
i want to	i want to	null()	null()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
i want to go from broadway queens to roosevelt avenue	i want to go from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
okay thank	okay thank	thankyou()&ack()	thankyou()&ack()
		silence()	silence()
		silence()	silence()
how long will that take	how long will that take	request(duration)	request(duration)
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
broadway queens to roosevelt avenue	*STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
what is the weather like	what is the weather like	inform(task="weather")	inform(task="weather")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
is there a connection	is there a connection	inform(task="find_connection")	inform(task="find_connection")
in twenty minutes	in *NUMBER minutes	inform(time_rel="0:20")	inform(time_rel="*TIME_REL")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
oregon	*CITY	inform(city="Oregon")	inform(city="*CITY")
		silence()	silence()
what is the weather like in ashland	what is the weather like in *CITY	inform(in_city="Ashland")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i need to find a connection from broadway queens to roosevelt avenue	i need to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long will that take	how long will that take	request(duration)	request(duration)
what is the connection for broadway queens to roosevelt avenue	what is the connection for *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(in_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(in_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
thank you	thank you	thankyou()	thankyou()
that's all	that's all	null()	null()
		silence()	silence()
		silence()	silence()
duration distance of trip	duration distance of trip	request(distance)	request(distance)
yes connection in twenty minutes	yes connection in *NUMBER minutes	inform(departure_time_rel="0:20")&inform(task="find_connection")&affirm()	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")&affirm()
		silence()	silence()
time in miami florida	time in *CITY *CITY	inform(in_city="Miami")&inform(in_state="Florida")	inform(in_city="*CITY")&inform(in_state="*STATE")
		silence()	silence()
what's the time in manny	what's the time in manny	request(current_time)	request(current_time="*CURRENT_TIME")
		silence()	silence()
		silence()	silence()
		silence()	silence()
i need to find a connection	i need to find a connection	inform(task="find_connection")	inform(task="find_connection")
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens to	*STREET *BOROUGH to	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
		silence()	silence()
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how far will i be travelling	how far will i be travelling	request(distance)	request(distance)
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
i'm looking i want to find a connection from broadway queens to roosevelt avenue	i'm looking i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
hey what's the weather forecast	hey what's the weather forecast	inform(task="weather")&hello()	inform(task="weather")&hello()
what's the time in my um in my town	what's the time in my um in my town	request(current_time)	request(current_time="*CURRENT_TIME")
		silence()	silence()
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
thank you	thank you	thankyou()	thankyou()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i'm on the phone	i'm on the phone	null()	null()
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how far is the trip	how far is the trip	request(distance)	request(distance)
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
yes	yes	affirm()	affirm()
_noise_	_noise_	null()	null()
village creek	*CITY creek	inform(city="Village")	inform(city="*CITY")
		silence()	silence()
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
		silence()	silence()
		silence()	silence()
but i wanna go by bus	but i wanna go by *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
to	to	null()	null()
		silence()	silence()
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to go by bus	i want to go by *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
ok what time is it now	ok what time is it *TIME	inform(time_rel="now")&ack()&request(current_time)	inform(time_rel="*TIME_REL")&ack()&request(current_time="*CURRENT_TIME")
		silence()	silence()
nevada	*CITY	inform(state="Nevada")	inform(state="*STATE")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how long is the trip	how long is the trip	request(duration)&request(distance)	request(duration)&request(distance)
		silence()	silence()
what is the weather forecast and time in fayetteville north carolina	what is the weather forecast and time in *CITY *STATE	inform(in_city="Fayetteville")&inform(in_state="North Carolina")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i need a connection from broadway queens to roosevelt avenue	i need a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
and find out connection	and find out connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
		silence()	silence()
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
long does it take	long does it take	null()	null()
i am still here	i am still here	null()	null()
		silence()	silence()
		silence()	silence()
connection from broadway queens to roosevelt avenue	connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
connection in twenty minutes	connection in *NUMBER minutes	inform(departure_time_rel="0:20")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather and time	what is the weather and time	inform(task="weather")	inform(task="weather")
		silence()	silence()
i would like to know the distance between broadway and fifty seventh street in manhattan	i would like to know the distance between *STREET and *STREET in *BOROUGH	inform(to_street="Broadway")&inform(from_street="57 St")&inform(in_borough="Manhattan")&request(distance)	inform(to_street="*STREET")&inform(from_street="*STREET")&inform(in_borough="*BOROUGH")&request(distance)
		silence()	silence()
		silence()	silence()
broadway	*STREET	inform(street="Broadway")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
of the trip	of the trip	null()	null()
duration	duration	null()	null()
		silence()	silence()
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
_noise_	_noise_	null()	null()
		silence()	silence()
thank you	thank you	thankyou()	thankyou()
		silence()	silence()
		silence()	silence()
i want to find a connection from broadway	i want to find a connection from *STREET	inform(from_street="Broadway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
to roosevelt avenue	to *STREET	inform(to_street="Roosevelt Ave")	inform(to_street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i did not say brazil i said broadway	i did not say *CITY i said *STREET	inform(street="Broadway")&inform(city="Brazil")&negate()	inform(street="*STREET")&inform(city="*CITY")&negate()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a connection from broadway in queens to roosevelt avenue	i want to find a connection from *STREET in *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
_noise_	_noise_	null()	null()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i will find a connection from broadway queens to roosevelt avenue	i will find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
forecast in fort worth texas	forecast in *CITY *STATE	inform(in_city="Fort Worth")&inform(in_state="Texas")	inform(in_city="*CITY")&inform(in_state="*STATE")
dallas	*CITY	inform(city="Dallas")	inform(city="*CITY")
		silence()	silence()
tcu	tcu	null()	null()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i need a connection from broadway queens to roosevelt avenue	i need a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
how far is that	how far is that	request(distance)	request(distance)
i need a connection in twenty minutes	i need a connection in *NUMBER minutes	inform(departure_time_rel="0:20")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
avenue	*CITY	inform(city="Avenue")	inform(city="*CITY")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how long will it take	how long will it take	request(duration)	request(duration)
how far is it	how far is it	request(distance)	request(distance)
		silence()	silence()
		silence()	silence()
what is the weather like	what is the weather like	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather and time right now in mason city iowa	what is the weather and time right *TIME in *CITY *CITY	inform(in_city="Mason City")&inform(to_city="Iowa")&inform(time_rel="now")&inform(task="weather")	inform(in_city="*CITY")&inform(to_city="*CITY")&inform(time_rel="*TIME_REL")&inform(task="weather")
		silence()	silence()
what time is it	what time is it	request(current_time)	request(current_time="*CURRENT_TIME")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
i want to go to roosevelt	i want to go to *CITY	inform(to_city="Roosevelt")&inform(task="find_connection")	inform(to_city="*CITY")&inform(task="find_connection")
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
i want a connection	i want a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather in san francisco california	what is the weather in *CITY *CITY	inform(in_city="San Francisco")&inform(in_state="California")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
can you tell me weather forecast	can you tell me weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
i need the distance of the trip	i need the distance of the trip	request(distance)	request(distance)
from broadway queens to roosevelt avenue	from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
what is the duration of the trip	what is the duration of the trip	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather in brick new jersey	what is the weather in *CITY *STATE	inform(in_city="Brick")&inform(in_state="New Jersey")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection	i want to find a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
saint lewis	saint *CITY	inform(city="Lewis")	inform(city="*CITY")
i need to find a connection	i need to find a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
the weather in queens	the weather in *BOROUGH	inform(in_borough="Queens")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
		silence()	silence()
		silence()	silence()
to go from broadway queens to roosevelt avenue	to go from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
i want to go from broadway queens to roosevelt avenue	i want to go from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
will this take	will this take	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
distance	distance	request(distance)	request(distance)
from broadway queens to roosevelt avenue	from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
hello	hello	hello()	hello()
hello	hello	hello()	hello()
broadway queens to	*STREET *BOROUGH to	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
broadway queens to roosevelt avenue how long is it	*STREET *BOROUGH to *STREET how long is it	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&request(distance)	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&request(distance)
broadway in queens to roosevelt avenue	*STREET in *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(in_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(in_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from broadway queens to roosevelt avenue	i want to go from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long is the trip	how long is the trip	request(duration)&request(distance)	request(duration)&request(distance)
what's the weather like in queens	what's the weather like in *BOROUGH	inform(in_borough="Queens")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
hello	hello	hello()	hello()
i would like to find a connection from broadway queens to roosevelt avenue	i would like to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
yes can i have a connection to from broadway to ro	yes can i have a connection to from *STREET to ro	inform(from_street="Broadway")&inform(task="find_connection")&affirm()	inform(from_street="*STREET")&inform(task="find_connection")&affirm()
roosevelt avenue	*STREET	inform(street="Roosevelt Ave")	inform(street="*STREET")
		silence()	silence()
i would like to go to roosevelt avenue	i would like to go to *STREET	inform(to_street="Roosevelt Ave")&inform(task="find_connection")	inform(to_street="*STREET")&inform(task="find_connection")
what's the weather	what's the weather	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
yes i'm looking for a connection	yes i'm looking for a connection	inform(task="find_connection")&affirm()	inform(task="find_connection")&affirm()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to go from broadway queens	i want to go from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
		silence()	silence()
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
can you repeat that	can you repeat that	repeat()	repeat()
_noise_	_noise_	null()	null()
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
no	no	negate()	negate()
		silence()	silence()
what is the duration of the trip	what is the duration of the trip	request(duration)	request(duration)
		silence()	silence()
what is the connection	what is the connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
